Complex ID,Borough,GTFS Latitude,GTFS Longitude
504,SI,40.621319,-74.071402
505,SI,40.603117,-74.084087
506,SI,40.596612,-74.087368
507,SI,40.588849,-74.09609
508,SI,40.583591,-74.103338
509,SI,40.578965,-74.109704
510,SI,40.57348,-74.11721
511,SI,40.56511,-74.12632
512,SI,40.5564,-74.136907
513,SI,40.551231,-74.151399
514,SI,40.544601,-74.16457
515,SI,40.54046,-74.178217
516,SI,40.533674,-74.191794
517,SI,40.525507,-74.200064
518,SI,40.52241,-74.217847
519,SI,40.519631,-74.229141
522,SI,40.512764,-74.251961
523,SI,40.516578,-74.242096
601,M,40.737335,-73.996786
602,M,40.735736,-73.990568
603,Bx,40.818375,-73.927351
604,Bx,40.827905,-73.925651
605,M,40.840719,-73.939561
606,Q,40.747846,-73.946
607,M,40.749567,-73.98795
608,Bk,40.670847,-73.988302
609,M,40.754222,-73.984569
610,M,40.751776,-73.976848
611,M,40.754672,-73.986754
612,M,40.757552,-73.969055
613,M,40.76266,-73.967258
614,M,40.768296,-73.981736
615,Bk,40.626472,-73.996895
616,Q,40.746644,-73.891338
617,Bk,40.683666,-73.97881
618,M,40.739777,-74.002578
619,M,40.725297,-73.996204
620,Bk,40.6941,-73.991777
621,Bk,40.679498,-73.904512
622,M,40.713243,-74.003401
623,M,40.719527,-74.001775
624,M,40.710668,-74.011029
625,M,40.718315,-73.987437
626,Bk,40.670343,-73.959245
627,Bk,40.680596,-73.955827
628,M,40.710374,-74.007582
629,Bk,40.714063,-73.950275
630,Bk,40.69943,-73.912385
635,M,40.703087,-74.012994
636,Bk,40.69218,-73.985942
