Area/SCP,isNA,IDna,IDnz,IDct,IZna,ODna,ODnz,ODct,OZna,IDnzPct,ODnzPct,IZnaPct,OZnaPct
"('N089', '00-06-02')",0,0,14101,14384,0,0,14307,14384,0,0.980325361512792,0.994646829810901,0.0,0.0
"('N537', '00-00-00')",0,0,14836,14924,0,0,14885,14924,0,0.9941034575180916,0.9973867595818816,0.0,0.0
"('R251', '00-03-01')",0,0,14656,15014,0,0,14834,15014,0,0.9761555881177568,0.988011189556414,0.0,0.0
"('N562', '00-00-00')",0,0,13263,14909,0,0,13730,14909,0,0.8895968877859012,0.9209202495137164,0.0,0.0
"('R604', '03-00-05')",0,0,14569,14902,0,0,14672,14902,0,0.977654006173668,0.9845658300899208,0.0,0.0
"('R235', '01-05-01')",1434,0,0,1434,1434,0,21,1434,0,0.0,0.0146443514644351,1.0,0.0
"('A033', '02-00-04')",0,0,14735,15032,0,0,14884,15032,0,0.9802421500798296,0.990154337413518,0.0,0.0
"('B026', '00-00-03')",0,0,14669,14927,0,0,14544,14927,0,0.9827158839686474,0.9743417967441548,0.0,0.0
"('R260', '01-05-01')",0,0,1,14633,0,0,516,14633,0,6.833868653044489e-05,0.0352627622497095,0.0,0.0
"('N222', '00-00-02')",0,0,14767,14967,0,0,14925,14967,0,0.9866372686577136,0.9971938264181198,0.0,0.0
"('R550', '00-03-05')",0,0,12312,13065,0,0,11931,13065,0,0.9423650975889782,0.913203214695752,0.0,0.0
"('N539', '00-03-02')",0,0,7239,7669,0,0,7447,7669,0,0.9439301082279308,0.9710522884339547,0.0,0.0
"('PTH22', '00-00-00')",0,0,7143,7870,0,0,7690,7870,0,0.9076238881829732,0.97712833545108,0.0,0.0
"('A046', '00-06-05')",0,0,14058,15076,0,0,14338,15076,0,0.9324754576810824,0.9510480233483682,0.0,0.0
"('PTH03', '00-05-00')",0,0,2838,3451,0,0,3013,3451,0,0.8223703274413213,0.8730802665893944,0.0,0.0
"('N304', '01-01-01')",0,0,8375,15106,0,0,8498,15106,0,0.5544154640540183,0.5625579240037072,0.0,0.0
"('N512', '00-00-04')",0,0,14709,14885,0,0,14868,14885,0,0.9881760161236144,0.9988579106483036,0.0,0.0
"('N073', '02-00-07')",0,0,14231,14993,0,0,13954,14993,0,0.949176282265057,0.9307009937971054,0.0,0.0
"('N092', '03-00-05')",0,0,14906,15015,0,0,14938,15015,0,0.9927405927405928,0.9948717948717948,0.0,0.0
"('N553', '00-00-02')",0,0,13148,14877,0,0,12699,14877,0,0.8837803320561941,0.853599516031458,0.0,0.0
