       area  unit       scp station    lines  div        desc        i        o                  dt
1872498  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  25752  31054 2019-08-11 09:00:00
1872499  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  26747  21775 2019-08-11 13:00:00
1872500  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  25845  31226 2019-08-11 13:00:00
1872501  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  26948  22121 2019-08-11 17:00:00
1872502  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  26029  31456 2019-08-11 17:00:00
1872503  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  27138  22364 2019-08-11 21:00:00
1872504  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  26216  31629 2019-08-11 21:00:00
1872505  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  27246  22444 2019-08-12 01:00:00
1872506  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  26279  31672 2019-08-12 01:00:00
1872507  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  27254  22461 2019-08-12 05:00:00
1872508  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  26285  31678 2019-08-12 05:00:00
1872509  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  27341  22909 2019-08-12 09:00:00
1872510  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  26377  32034 2019-08-12 09:00:00
1872511  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  27515  23478 2019-08-12 13:00:00
1872512  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  26600  32438 2019-08-12 13:00:00
1872513  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  27816  23801 2019-08-12 17:00:00
1872514  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  26936  32639 2019-08-12 17:00:00
1872515  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  28421  24131 2019-08-12 21:00:00
1872516  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  27678  32773 2019-08-12 21:00:00
1872517  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  28576  24198 2019-08-13 01:00:00
1872518  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  27816  32817 2019-08-13 01:00:00
1872519  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT     REGULAR  28589  24214 2019-08-13 05:00:00
1872520  A034  R170  03-05-03  14 ST-UNION SQ  LNQR456W  BMT  RECOVR AUD  27825  32826 2019-08-13 05:00:00
