       area  unit       scp station    lines  div        desc        i        o                  dt
22911171  N120A  R153  01-06-00  UTICA AV    AC  IND  RECOVR AUD  101637542  64182 2018-07-11 09:00:00
22911172  N120A  R153  01-06-00  UTICA AV    AC  IND     REGULAR  101638048  64192 2018-07-11 13:00:00
22911173  N120A  R153  01-06-00  UTICA AV    AC  IND     REGULAR  101638354  64208 2018-07-11 17:00:00
22911174  N120A  R153  01-06-00  UTICA AV    AC  IND     REGULAR  101638506  64247 2018-07-11 21:00:00
22911175  N120A  R153  01-06-00  UTICA AV    AC  IND     REGULAR  101638554  64266 2018-07-12 01:00:00



          area  unit       scp        station lines  div        desc          i        o                  dt
23710291  N135  R385  01-03-00  ROCKAWAY BLVD     A  IND     REGULAR    5631293  3844404 2015-08-14 21:00:00
23710292  N135  R385  01-03-00  ROCKAWAY BLVD     A  IND     REGULAR    5631360  3844407 2015-08-15 01:00:00
23710293  N135  R385  01-03-00  ROCKAWAY BLVD     A  IND     REGULAR    5631378  3844409 2015-08-15 05:00:00
23710294  N135  R385  01-03-00  ROCKAWAY BLVD     A  IND     REGULAR  100821967    22680 2015-08-27 17:00:00
23710295  N135  R385  01-03-00  ROCKAWAY BLVD     A  IND  RECOVR AUD    1350889   285761 2015-08-27 17:00:00
23710296  N135  R385  01-03-00  ROCKAWAY BLVD     A  IND     REGULAR  100821967    22682 2015-08-27 21:00:00
23710297  N135  R385  01-03-00  ROCKAWAY BLVD     A  IND  RECOVR AUD    1350889   285761 2015-08-27 21:00:00
23710298  N135  R385  01-03-00  ROCKAWAY BLVD     A  IND     REGULAR  100821967    22682 2015-08-28 01:00:00
23710299  N135  R385  01-03-00  ROCKAWAY BLVD     A  IND  RECOVR AUD    1350889   285761 2015-08-28 01:00:00
23710300  N135  R385  01-03-00  ROCKAWAY BLVD     A  IND     REGULAR  100821967    22682 2015-08-28 05:00:00
23710301  N135  R385  01-03-00  ROCKAWAY BLVD     A  IND  RECOVR AUD    1350889   285761 2015-08-28 05:00:00
23710302  N135  R385  01-03-00  ROCKAWAY BLVD     A  IND     REGULAR  100821967    22683 2015-08-28 09:00:00
23710303  N135  R385  01-03-00  ROCKAWAY BLVD     A  IND     REGULAR  100821974    22688 2015-08-28 13:00:00
23710304  N135  R385  01-03-00  ROCKAWAY BLVD     A  IND     REGULAR  100821984    22696 2015-08-28 17:00:00
23710305  N135  R385  01-03-00  ROCKAWAY BLVD     A  IND     REGULAR  100822098    22734 2015-08-28 21:00:00



          area  unit       scp        station lines  div        desc        i       o                  dt
23732734  N135  R385  01-03-01  ROCKAWAY BLVD     A  IND     REGULAR  1162211  355713 2019-03-31 01:00:00
23732735  N135  R385  01-03-01  ROCKAWAY BLVD     A  IND     REGULAR  1162222  355727 2019-03-31 05:00:00
23732736  N135  R385  01-03-01  ROCKAWAY BLVD     A  IND     REGULAR  1162283  355741 2019-03-31 09:00:00
23732737  N135  R385  01-03-01  ROCKAWAY BLVD     A  IND     REGULAR  1162355  355757 2019-03-31 13:00:00
23732738  N135  R385  01-03-01  ROCKAWAY BLVD     A  IND  RECOVR AUD  1162354  355757 2019-03-31 13:00:00
23732739  N135  R385  01-03-01  ROCKAWAY BLVD     A  IND     REGULAR  1162432  355778 2019-03-31 17:00:00
23732740  N135  R385  01-03-01  ROCKAWAY BLVD     A  IND     REGULAR  1162506  355830 2019-04-01 01:00:00
23732741  N135  R385  01-03-01  ROCKAWAY BLVD     A  IND     REGULAR  1162521  355835 2019-04-01 05:00:00
23732742  N135  R385  01-03-01  ROCKAWAY BLVD     A  IND     REGULAR  1162992  355947 2019-04-01 09:00:00



          area  unit       scp        station lines  div        desc      i      o                  dt
24364908  N183  R415  00-00-00  BROAD CHANNEL    AS  IND     REGULAR  36973  25336 2018-04-03 17:00:00
24364909  N183  R415  00-00-00  BROAD CHANNEL    AS  IND     REGULAR  36980  25344 2018-04-03 21:00:00
24364910  N183  R415  00-00-00  BROAD CHANNEL    AS  IND     REGULAR  36983  25347 2018-04-04 01:00:00
24364911  N183  R415  00-00-00  BROAD CHANNEL    AS  IND     REGULAR  36995  25351 2018-04-04 05:00:00
24364912  N183  R415  00-00-00  BROAD CHANNEL    AS  IND  RECOVR AUD  36994  25351 2018-04-04 05:00:00
24364913  N183  R415  00-00-00  BROAD CHANNEL    AS  IND     REGULAR  37045  25359 2018-04-04 09:00:00
24364914  N183  R415  00-00-00  BROAD CHANNEL    AS  IND     REGULAR  37050  25366 2018-04-04 13:00:00
24364915  N183  R415  00-00-00  BROAD CHANNEL    AS  IND     REGULAR  37071  25381 2018-04-04 17:00:00
24364916  N183  R415  00-00-00  BROAD CHANNEL    AS  IND     REGULAR  37086  25391 2018-04-04 21:00:00



          area  unit       scp       station lines  div        desc        i       o                  dt
25127881  N196  R285  00-03-00  FAR ROCKAWAY     A  IND     REGULAR   147417   96552 2019-01-05 07:00:00
25127882  N196  R285  00-03-00  FAR ROCKAWAY     A  IND     REGULAR   147422   96562 2019-01-05 11:00:00
25127883  N196  R285  00-03-00  FAR ROCKAWAY     A  IND     REGULAR   147488   96652 2019-01-05 15:00:00
25127884  N196  R285  00-03-00  FAR ROCKAWAY     A  IND     REGULAR   147547   96691 2019-01-05 19:00:00
25127885  N196  R285  00-03-00  FAR ROCKAWAY     A  IND  RECOVR AUD  1924779  536958 2019-01-05 19:00:00
25127886  N196  R285  00-03-00  FAR ROCKAWAY     A  IND     REGULAR  1924779  536971 2019-01-05 23:00:00
25127887  N196  R285  00-03-00  FAR ROCKAWAY     A  IND     REGULAR  1924786  536979 2019-01-06 03:00:00
25127888  N196  R285  00-03-00  FAR ROCKAWAY     A  IND     REGULAR  1924795  536988 2019-01-06 07:00:00
25127889  N196  R285  00-03-00  FAR ROCKAWAY     A  IND  RECOVR AUD   147548   96807 2019-01-06 11:00:00



          area  unit       scp          station lines  div        desc        i        o                  dt
25302126  N203  R195  00-03-00  161/YANKEE STAD   BD4  IND     REGULAR  5293880  2093114 2016-07-25 00:22:00
25302127  N203  R195  00-03-00  161/YANKEE STAD   BD4  IND     REGULAR  5293880  2093114 2016-07-25 04:22:00
25302128  N203  R195  00-03-00  161/YANKEE STAD   BD4  IND     REGULAR  5293880  2093114 2016-07-25 08:22:00
25302129  N203  R195  00-03-00  161/YANKEE STAD   BD4  IND     REGULAR  5293880  2093114 2016-07-25 12:22:00
25302130  N203  R195  00-03-00  161/YANKEE STAD   BD4  IND  RECOVR AUD  1219729   194662 2016-07-25 12:22:00
25302131  N203  R195  00-03-00  161/YANKEE STAD   BD4  IND     REGULAR  5293880  2093114 2016-07-25 16:22:00
25302132  N203  R195  00-03-00  161/YANKEE STAD   BD4  IND  RECOVR AUD  1219731   194664 2016-07-25 16:22:00
25302133  N203  R195  00-03-00  161/YANKEE STAD   BD4  IND     REGULAR  5293880  2093114 2016-07-25 20:22:00
25302134  N203  R195  00-03-00  161/YANKEE STAD   BD4  IND     REGULAR  5293880  2093114 2016-07-26 00:22:00
25302135  N203  R195  00-03-00  161/YANKEE STAD   BD4  IND     REGULAR  5293880  2093114 2016-07-26 04:22:00
25302136  N203  R195  00-03-00  161/YANKEE STAD   BD4  IND     REGULAR  5293880  2093114 2016-07-26 08:22:00



          area  unit       scp          station lines  div        desc        i       o                  dt
25332132  N203  R195  00-03-02  161/YANKEE STAD   BD4  IND     REGULAR   902037  296621 2016-07-25 04:22:00
25332133  N203  R195  00-03-02  161/YANKEE STAD   BD4  IND     REGULAR   902037  296621 2016-07-25 08:22:00
25332134  N203  R195  00-03-02  161/YANKEE STAD   BD4  IND     REGULAR   902037  296621 2016-07-25 12:22:00
25332135  N203  R195  00-03-02  161/YANKEE STAD   BD4  IND     REGULAR   902037  296621 2016-07-25 16:22:00
25332136  N203  R195  00-03-02  161/YANKEE STAD   BD4  IND  RECOVR AUD  1246894   88436 2016-07-25 16:22:00
25332137  N203  R195  00-03-02  161/YANKEE STAD   BD4  IND     REGULAR   902037  296623 2016-07-25 20:22:00
25332138  N203  R195  00-03-02  161/YANKEE STAD   BD4  IND     REGULAR   902037  296623 2016-07-26 00:22:00
25332139  N203  R195  00-03-02  161/YANKEE STAD   BD4  IND     REGULAR   902037  296623 2016-07-26 04:22:00
25332140  N203  R195  00-03-02  161/YANKEE STAD   BD4  IND     REGULAR   902037  296623 2016-07-26 08:22:00



          area  unit       scp     station lines  div        desc        i        o                  dt
25878030  N213  R154  00-00-00  TREMONT AV    BD  IND     REGULAR  3682339  2759811 2021-06-22 17:00:00
25878031  N213  R154  00-00-00  TREMONT AV    BD  IND     REGULAR  3682434  2759994 2021-06-22 21:00:00
25878032  N213  R154  00-00-00  TREMONT AV    BD  IND     REGULAR  3682465  2760087 2021-06-23 01:00:00
25878033  N213  R154  00-00-00  TREMONT AV    BD  IND     REGULAR  3682483  2760115 2021-06-23 05:00:00
25878034  N213  R154  00-00-00  TREMONT AV    BD  IND  RECOVR AUD  3682482  2760115 2021-06-23 05:00:00
25878035  N213  R154  00-00-00  TREMONT AV    BD  IND     REGULAR  3682790  2760206 2021-06-23 09:00:00
25878036  N213  R154  00-00-00  TREMONT AV    BD  IND     REGULAR  3682921  2760301 2021-06-23 13:00:00
25878037  N213  R154  00-00-00  TREMONT AV    BD  IND     REGULAR  3683058  2760470 2021-06-23 17:00:00
25878038  N213  R154  00-00-00  TREMONT AV    BD  IND     REGULAR  3683175  2760684 2021-06-23 21:00:00



          area  unit       scp     station lines  div        desc          i          o                  dt
25954180  N213  R154  00-00-05  TREMONT AV    BD  IND     REGULAR  369306947  100832810 2021-06-22 17:00:00
25954181  N213  R154  00-00-05  TREMONT AV    BD  IND     REGULAR  369307046  100832964 2021-06-22 21:00:00
25954182  N213  R154  00-00-05  TREMONT AV    BD  IND     REGULAR  369307062  100833039 2021-06-23 01:00:00
25954183  N213  R154  00-00-05  TREMONT AV    BD  IND     REGULAR  369307076  100833056 2021-06-23 05:00:00
25954184  N213  R154  00-00-05  TREMONT AV    BD  IND  RECOVR AUD  369307075  100833056 2021-06-23 05:00:00
25954185  N213  R154  00-00-05  TREMONT AV    BD  IND     REGULAR  369307333  100833111 2021-06-23 09:00:00
25954186  N213  R154  00-00-05  TREMONT AV    BD  IND     REGULAR  369307475  100833169 2021-06-23 13:00:00
25954187  N213  R154  00-00-05  TREMONT AV    BD  IND     REGULAR  369307623  100833302 2021-06-23 17:00:00
25954188  N213  R154  00-00-05  TREMONT AV    BD  IND     REGULAR  369307721  100833480 2021-06-23 21:00:00



          area  unit       scp          station lines  div        desc        i        o                  dt
27444066  N306  R017  00-00-03  LEXINGTON AV/53   EM6  IND     REGULAR  1547571  1178566 2016-03-09 07:00:00
27444067  N306  R017  00-00-03  LEXINGTON AV/53   EM6  IND     REGULAR  1547804  1180456 2016-03-09 11:00:00
27444068  N306  R017  00-00-03  LEXINGTON AV/53   EM6  IND     REGULAR  1548363  1180824 2016-03-09 15:00:00
27444069  N306  R017  00-00-03  LEXINGTON AV/53   EM6  IND     REGULAR  1550145  1181062 2016-03-09 19:00:00
27444070  N306  R017  00-00-03  LEXINGTON AV/53   EM6  IND  RECOVR AUD  1550144  1181062 2016-03-09 19:00:00
27444071  N306  R017  00-00-03  LEXINGTON AV/53   EM6  IND     REGULAR  1550927  1181252 2016-03-09 23:00:00
27444072  N306  R017  00-00-03  LEXINGTON AV/53   EM6  IND     REGULAR  1551084  1181290 2016-03-10 03:00:00
27444073  N306  R017  00-00-03  LEXINGTON AV/53   EM6  IND     REGULAR  1551137  1181520 2016-03-10 07:00:00
27444074  N306  R017  00-00-03  LEXINGTON AV/53   EM6  IND     REGULAR  1551202  1182092 2016-03-10 08:19:26



          area  unit       scp          station lines  div        desc        i       o                  dt
27534905  N306  R017  00-06-00  LEXINGTON AV/53   EM6  IND     REGULAR  1442206  519931 2016-03-09 07:00:00
27534906  N306  R017  00-06-00  LEXINGTON AV/53   EM6  IND     REGULAR  1442834  520180 2016-03-09 11:00:00
27534907  N306  R017  00-06-00  LEXINGTON AV/53   EM6  IND     REGULAR  1443286  520251 2016-03-09 15:00:00
27534908  N306  R017  00-06-00  LEXINGTON AV/53   EM6  IND     REGULAR  1444515  520322 2016-03-09 19:00:00
27534909  N306  R017  00-06-00  LEXINGTON AV/53   EM6  IND  RECOVR AUD  1444515  520321 2016-03-09 19:00:00
27534910  N306  R017  00-06-00  LEXINGTON AV/53   EM6  IND     REGULAR  1445002  520400 2016-03-09 23:00:00
27534911  N306  R017  00-06-00  LEXINGTON AV/53   EM6  IND     REGULAR  1445102  520414 2016-03-10 03:00:00
27534912  N306  R017  00-06-00  LEXINGTON AV/53   EM6  IND     REGULAR  1445139  520462 2016-03-10 07:00:00
27534913  N306  R017  00-06-00  LEXINGTON AV/53   EM6  IND     REGULAR  1445313  520526 2016-03-10 08:19:26



          area  unit       scp       station lines  div        desc        i           o                  dt
27971762  N310  R140  01-06-00  QUEENS PLAZA   EMR  IND     REGULAR  2512937     2748359 2016-10-06 09:00:00
27971763  N310  R140  01-06-00  QUEENS PLAZA   EMR  IND     REGULAR  2513126     2748505 2016-10-06 13:00:00
27971764  N310  R140  01-06-00  QUEENS PLAZA   EMR  IND     REGULAR  2513362     2748605 2016-10-06 17:00:00
27971765  N310  R140  01-06-00  QUEENS PLAZA   EMR  IND     REGULAR  2513545     2748672 2016-10-06 21:00:00
27971766  N310  R140  01-06-00  QUEENS PLAZA   EMR  IND  RECOVR AUD  2490505  1059652096 2016-10-06 21:00:00
27971767  N310  R140  01-06-00  QUEENS PLAZA   EMR  IND     REGULAR  2513565     2748701 2016-10-07 01:00:00
27971768  N310  R140  01-06-00  QUEENS PLAZA   EMR  IND     REGULAR  2513568     2748708 2016-10-07 05:00:00
27971769  N310  R140  01-06-00  QUEENS PLAZA   EMR  IND     REGULAR  2513749     2749185 2016-10-07 09:00:00
27971770  N310  R140  01-06-00  QUEENS PLAZA   EMR  IND     REGULAR  2513917     2749331 2016-10-07 13:00:00



          area  unit       scp       station lines  div        desc       i         o                  dt
27981813  N310  R140  01-06-00  QUEENS PLAZA   EMR  IND     REGULAR  927820    335767 2021-05-20 05:00:00
27981814  N310  R140  01-06-00  QUEENS PLAZA   EMR  IND     REGULAR  927870    335916 2021-05-20 09:00:00
27981815  N310  R140  01-06-00  QUEENS PLAZA   EMR  IND     REGULAR  927919    335964 2021-05-20 13:00:00
27981816  N310  R140  01-06-00  QUEENS PLAZA   EMR  IND     REGULAR  928040    336006 2021-05-20 17:00:00
27981817  N310  R140  01-06-00  QUEENS PLAZA   EMR  IND  RECOVR AUD  917544  17105542 2021-05-20 17:00:00
27981818  N310  R140  01-06-00  QUEENS PLAZA   EMR  IND     REGULAR  928085    336043 2021-05-20 21:00:00
27981819  N310  R140  01-06-00  QUEENS PLAZA   EMR  IND     REGULAR  928088    336056 2021-05-21 01:00:00
27981820  N310  R140  01-06-00  QUEENS PLAZA   EMR  IND     REGULAR  928089    336059 2021-05-21 05:00:00
27981821  N310  R140  01-06-00  QUEENS PLAZA   EMR  IND     REGULAR  928129    336226 2021-05-21 09:00:00



          area  unit       scp station lines  div        desc        i       o                  dt
28006282  N311  R339  01-00-00   36 ST    MR  IND     REGULAR  1406252  316799 2018-12-09 04:00:00
28006283  N311  R339  01-00-00   36 ST    MR  IND     REGULAR  1406259  316800 2018-12-09 08:00:00
28006284  N311  R339  01-00-00   36 ST    MR  IND  RECOVR AUD  1406272  316806 2018-12-09 12:00:00
28006285  N311  R339  01-00-00   36 ST    MR  IND     REGULAR  1406302  316813 2018-12-09 16:00:00
28006286  N311  R339  01-00-00   36 ST    MR  IND  RECOVR AUD   695331  706195 2018-12-09 16:00:00
28006287  N311  R339  01-00-00   36 ST    MR  IND     REGULAR  1406330  316832 2018-12-09 20:00:00
28006288  N311  R339  01-00-00   36 ST    MR  IND  RECOVR AUD   695418  706248 2018-12-09 20:00:00
28006289  N311  R339  01-00-00   36 ST    MR  IND     REGULAR  1406338  316844 2018-12-10 00:00:00
28006290  N311  R339  01-00-00   36 ST    MR  IND  RECOVR AUD   695448  706268 2018-12-10 00:00:00
28006291  N311  R339  01-00-00   36 ST    MR  IND     REGULAR  1406343  316844 2018-12-10 03:29:32
28006292  N311  R339  01-00-00   36 ST    MR  IND     REGULAR  1406343  316844 2018-12-10 04:00:00
28006293  N311  R339  01-00-00   36 ST    MR  IND  RECOVR AUD   695450  706271 2018-12-10 04:00:00
28006294  N311  R339  01-00-00   36 ST    MR  IND     REGULAR  1406361  316865 2018-12-10 08:00:00
28006295  N311  R339  01-00-00   36 ST    MR  IND  RECOVR AUD   695506  706448 2018-12-10 08:00:00
28006296  N311  R339  01-00-00   36 ST    MR  IND  RECOVR AUD  1406417  316911 2018-12-10 12:00:00
28006297  N311  R339  01-00-00   36 ST    MR  IND     REGULAR  1406556  316949 2018-12-10 16:00:00
28006298  N311  R339  01-00-00   36 ST    MR  IND     REGULAR  1406769  316968 2018-12-10 20:00:00
28006299  N311  R339  01-00-00   36 ST    MR  IND     REGULAR  1406795  316981 2018-12-11 00:00:00



          area  unit       scp station lines  div        desc       i       o                  dt
28021236  N311  R339  01-00-01   36 ST    MR  IND     REGULAR  563964  530264 2018-12-09 04:00:00
28021237  N311  R339  01-00-01   36 ST    MR  IND     REGULAR  563967  530271 2018-12-09 08:00:00
28021238  N311  R339  01-00-01   36 ST    MR  IND  RECOVR AUD  563974  530284 2018-12-09 12:00:00
28021239  N311  R339  01-00-01   36 ST    MR  IND     REGULAR  563988  530300 2018-12-09 16:00:00
28021240  N311  R339  01-00-01   36 ST    MR  IND  RECOVR AUD  364423  203104 2018-12-09 16:00:00
28021241  N311  R339  01-00-01   36 ST    MR  IND     REGULAR  564005  530326 2018-12-09 20:00:00
28021242  N311  R339  01-00-01   36 ST    MR  IND  RECOVR AUD  364479  203132 2018-12-09 20:00:00
28021243  N311  R339  01-00-01   36 ST    MR  IND     REGULAR  564010  530354 2018-12-10 00:00:00
28021244  N311  R339  01-00-01   36 ST    MR  IND  RECOVR AUD  364505  203142 2018-12-10 00:00:00
28021245  N311  R339  01-00-01   36 ST    MR  IND     REGULAR  564011  530355 2018-12-10 03:29:32
28021246  N311  R339  01-00-01   36 ST    MR  IND     REGULAR  564011  530355 2018-12-10 04:00:00
28021247  N311  R339  01-00-01   36 ST    MR  IND  RECOVR AUD  364513  203150 2018-12-10 04:00:00
28021248  N311  R339  01-00-01   36 ST    MR  IND     REGULAR  564018  530395 2018-12-10 08:00:00
28021249  N311  R339  01-00-01   36 ST    MR  IND  RECOVR AUD  364544  203233 2018-12-10 08:00:00
28021250  N311  R339  01-00-01   36 ST    MR  IND  RECOVR AUD  364695  203466 2018-12-10 12:00:00
28021251  N311  R339  01-00-01   36 ST    MR  IND     REGULAR  564125  530516 2018-12-10 16:00:00
28021252  N311  R339  01-00-01   36 ST    MR  IND     REGULAR  564261  530559 2018-12-10 20:00:00
28021253  N311  R339  01-00-01   36 ST    MR  IND     REGULAR  564270  530578 2018-12-11 00:00:00



          area  unit       scp station lines  div        desc       i        o                  dt
28036189  N311  R339  01-00-02   36 ST    MR  IND     REGULAR  282721  1444026 2018-12-09 04:00:00
28036190  N311  R339  01-00-02   36 ST    MR  IND     REGULAR  282721  1444049 2018-12-09 08:00:00
28036191  N311  R339  01-00-02   36 ST    MR  IND  RECOVR AUD  282722  1444088 2018-12-09 12:00:00
28036192  N311  R339  01-00-02   36 ST    MR  IND     REGULAR  282726  1444160 2018-12-09 16:00:00
28036193  N311  R339  01-00-02   36 ST    MR  IND  RECOVR AUD  814900   454218 2018-12-09 16:00:00
28036194  N311  R339  01-00-02   36 ST    MR  IND     REGULAR  282734  1444243 2018-12-09 20:00:00
28036195  N311  R339  01-00-02   36 ST    MR  IND  RECOVR AUD  815015   454259 2018-12-09 20:00:00
28036196  N311  R339  01-00-02   36 ST    MR  IND     REGULAR  282734  1444292 2018-12-10 00:00:00
28036197  N311  R339  01-00-02   36 ST    MR  IND  RECOVR AUD  815063   454271 2018-12-10 00:00:00
28036198  N311  R339  01-00-02   36 ST    MR  IND     REGULAR  282734  1444296 2018-12-10 03:29:32
28036199  N311  R339  01-00-02   36 ST    MR  IND     REGULAR  282734  1444296 2018-12-10 04:00:00
28036200  N311  R339  01-00-02   36 ST    MR  IND  RECOVR AUD  815070   454284 2018-12-10 04:00:00
28036201  N311  R339  01-00-02   36 ST    MR  IND     REGULAR  282737  1444432 2018-12-10 08:00:00
28036202  N311  R339  01-00-02   36 ST    MR  IND  RECOVR AUD  815160   454420 2018-12-10 08:00:00
28036203  N311  R339  01-00-02   36 ST    MR  IND  RECOVR AUD  282747  1444726 2018-12-10 12:00:00
28036204  N311  R339  01-00-02   36 ST    MR  IND     REGULAR  282793  1444852 2018-12-10 16:00:00
28036205  N311  R339  01-00-02   36 ST    MR  IND     REGULAR  282870  1444997 2018-12-10 20:00:00
28036206  N311  R339  01-00-02   36 ST    MR  IND     REGULAR  282872  1445057 2018-12-11 00:00:00



          area  unit       scp station lines  div        desc       i       o                  dt
28051006  N311  R339  01-06-00   36 ST    MR  IND     REGULAR    8149  129397 2018-12-09 04:00:00
28051007  N311  R339  01-06-00   36 ST    MR  IND     REGULAR    8150  129405 2018-12-09 08:00:00
28051008  N311  R339  01-06-00   36 ST    MR  IND  RECOVR AUD    8153  129421 2018-12-09 12:00:00
28051009  N311  R339  01-06-00   36 ST    MR  IND     REGULAR    8154  129469 2018-12-09 16:00:00
28051010  N311  R339  01-06-00   36 ST    MR  IND  RECOVR AUD  509698   30876 2018-12-09 16:00:00
28051011  N311  R339  01-06-00   36 ST    MR  IND     REGULAR    8154  129554 2018-12-09 20:00:00
28051012  N311  R339  01-06-00   36 ST    MR  IND  RECOVR AUD  509730   30940 2018-12-09 20:00:00
28051013  N311  R339  01-06-00   36 ST    MR  IND     REGULAR    8155  129606 2018-12-10 00:00:00
28051014  N311  R339  01-06-00   36 ST    MR  IND  RECOVR AUD  509749   30984 2018-12-10 00:00:00
28051015  N311  R339  01-06-00   36 ST    MR  IND     REGULAR    8155  129609 2018-12-10 03:29:32
28051016  N311  R339  01-06-00   36 ST    MR  IND     REGULAR    8155  129610 2018-12-10 04:00:00
28051017  N311  R339  01-06-00   36 ST    MR  IND     REGULAR    8155  129648 2018-12-10 08:00:00
28051018  N311  R339  01-06-00   36 ST    MR  IND  RECOVR AUD  509766   30998 2018-12-10 08:00:00
28051019  N311  R339  01-06-00   36 ST    MR  IND  RECOVR AUD    8159  129734 2018-12-10 12:00:00
28051020  N311  R339  01-06-00   36 ST    MR  IND     REGULAR    8173  129793 2018-12-10 16:00:00
28051021  N311  R339  01-06-00   36 ST    MR  IND     REGULAR    8187  129862 2018-12-10 20:00:00
28051022  N311  R339  01-06-00   36 ST    MR  IND     REGULAR    8187  129911 2018-12-11 00:00:00



          area  unit       scp          station  lines  div        desc        i        o                  dt
29021714  N324  R018  00-06-03  JKSN HT-ROOSVLT  EFMR7  IND     REGULAR  8390598  2289752 2021-04-13 12:00:00
29021715  N324  R018  00-06-03  JKSN HT-ROOSVLT  EFMR7  IND     REGULAR  8390891  2289862 2021-04-13 16:00:00
29021716  N324  R018  00-06-03  JKSN HT-ROOSVLT  EFMR7  IND     REGULAR  8391164  2290057 2021-04-13 20:00:00
29021717  N324  R018  00-06-03  JKSN HT-ROOSVLT  EFMR7  IND     REGULAR  8391213  2290173 2021-04-14 00:00:00
29021718  N324  R018  00-06-03  JKSN HT-ROOSVLT  EFMR7  IND  RECOVR AUD  8391213  2290172 2021-04-14 00:00:00
29021719  N324  R018  00-06-03  JKSN HT-ROOSVLT  EFMR7  IND     REGULAR  8391216  2290204 2021-04-14 04:00:00
29021720  N324  R018  00-06-03  JKSN HT-ROOSVLT  EFMR7  IND     REGULAR  8391502  2290232 2021-04-14 08:00:00
29021721  N324  R018  00-06-03  JKSN HT-ROOSVLT  EFMR7  IND     REGULAR  8391972  2290289 2021-04-14 12:00:00
29021722  N324  R018  00-06-03  JKSN HT-ROOSVLT  EFMR7  IND     REGULAR  8392237  2290408 2021-04-14 16:00:00



          area  unit       scp         station lines  div        desc        i        o                  dt
29377671  N329  R201  00-00-00  WOODHAVEN BLVD    MR  IND     REGULAR  1541969  1764984 2017-04-27 17:00:00
29377672  N329  R201  00-00-00  WOODHAVEN BLVD    MR  IND     REGULAR  1542535  1765927 2017-04-27 21:00:00
29377673  N329  R201  00-00-00  WOODHAVEN BLVD    MR  IND     REGULAR  1542731  1766085 2017-04-28 01:00:00
29377674  N329  R201  00-00-00  WOODHAVEN BLVD    MR  IND     REGULAR  1542772  1766120 2017-04-28 05:00:00
29377675  N329  R201  00-00-00  WOODHAVEN BLVD    MR  IND  RECOVR AUD  1542771  1766120 2017-04-28 05:00:00
29377676  N329  R201  00-00-00  WOODHAVEN BLVD    MR  IND     REGULAR  1544291  1766311 2017-04-28 09:00:00
29377677  N329  R201  00-00-00  WOODHAVEN BLVD    MR  IND     REGULAR  1545071  1766878 2017-04-28 13:00:00
29377678  N329  R201  00-00-00  WOODHAVEN BLVD    MR  IND     REGULAR  1545813  1768095 2017-04-28 17:00:00
29377679  N329  R201  00-00-00  WOODHAVEN BLVD    MR  IND     REGULAR  1546386  1769012 2017-04-28 21:00:00



          area  unit       scp         station lines  div        desc         i         o                  dt
29446721  N329  R201  00-03-02  WOODHAVEN BLVD    MR  IND     REGULAR  12538478  12055878 2021-05-07 09:00:00
29446722  N329  R201  00-03-02  WOODHAVEN BLVD    MR  IND     REGULAR  12538601  12055993 2021-05-07 13:00:00
29446723  N329  R201  00-03-02  WOODHAVEN BLVD    MR  IND     REGULAR  12538719  12056256 2021-05-07 17:00:00
29446724  N329  R201  00-03-02  WOODHAVEN BLVD    MR  IND     REGULAR   4825276   5534671 2021-05-08 01:00:00
29446725  N329  R201  00-03-02  WOODHAVEN BLVD    MR  IND  RECOVR AUD  12538859  12056519 2021-05-08 01:00:00
29446726  N329  R201  00-03-02  WOODHAVEN BLVD    MR  IND     REGULAR   4825280   5534700 2021-05-08 05:00:00
29446727  N329  R201  00-03-02  WOODHAVEN BLVD    MR  IND  RECOVR AUD  12538860  12056522 2021-05-08 05:00:00
29446728  N329  R201  00-03-02  WOODHAVEN BLVD    MR  IND     REGULAR   4825375   5534785 2021-05-08 09:00:00
29446729  N329  R201  00-03-02  WOODHAVEN BLVD    MR  IND  RECOVR AUD  12538900  12056543 2021-05-08 09:00:00
29446730  N329  R201  00-03-02  WOODHAVEN BLVD    MR  IND     REGULAR  12538962  12056653 2021-05-08 13:00:00
29446731  N329  R201  00-03-02  WOODHAVEN BLVD    MR  IND     REGULAR  12539078  12056863 2021-05-08 17:00:00
29446732  N329  R201  00-03-02  WOODHAVEN BLVD    MR  IND     REGULAR  12539160  12056994 2021-05-08 21:00:00
29446733  N329  R201  00-03-02  WOODHAVEN BLVD    MR  IND     REGULAR  12539185  12057050 2021-05-09 01:00:00



          area  unit       scp         station lines  div        desc        i        o                  dt
29463517  N329  R201  00-03-04  WOODHAVEN BLVD    MR  IND     REGULAR  1546166  2041702 2015-05-19 17:00:00
29463518  N329  R201  00-03-04  WOODHAVEN BLVD    MR  IND     REGULAR  1546512  2042510 2015-05-19 21:00:00
29463519  N329  R201  00-03-04  WOODHAVEN BLVD    MR  IND     REGULAR  1546611  2042908 2015-05-20 01:00:00
29463520  N329  R201  00-03-04  WOODHAVEN BLVD    MR  IND     REGULAR  1546637  2042974 2015-05-20 05:00:00
29463521  N329  R201  00-03-04  WOODHAVEN BLVD    MR  IND  RECOVR AUD  1546636  2042974 2015-05-20 05:00:00
29463522  N329  R201  00-03-04  WOODHAVEN BLVD    MR  IND     REGULAR  1547467  2043153 2015-05-20 09:00:00
