C/A,ENTRIES,WEEK,YEAR
N325A,1952553928,28,2021
N327,87884803,28,2021
N329,28206208,28,2021
N329A,1325547,28,2021
N330,46115719,28,2021
N330C,17038911,28,2021
N331,33246679,28,2021
N332,18238999,28,2021
N333,21831677,28,2021
N333A,37786467,28,2021
N333B,26027897,28,2021
N334B,477943727,28,2021
N335,63581890,28,2021
N336,54565357,28,2021
N337,20094874,28,2021
N338,85263047,28,2021
N338B,16851486,28,2021
N339,4176201,28,2021
N339A,20209381,28,2021
N340,12733188,28,2021
N340A,19925947,28,2021
N342,1318261929,28,2021
N343,75116964,28,2021
N400A,2690445998,28,2021
N401,4843198,28,2021
N405,22202282,28,2021
N408A,13752975,28,2021
N409,29216015,28,2021
N412,21521425,28,2021
N414,4082293,28,2021
N414A,5362674,28,2021
N415,10296611,28,2021
N416,355266,28,2021
N417,25606273,28,2021
N418,248193250,28,2021
N419,51571900,28,2021
N420B,5517607,28,2021
N422,16753500,28,2021
N500,72649957,28,2021
N501,2054511829,28,2021
N501A,51300348,28,2021
N502,1848772502,28,2021
N503,37261634,28,2021
N504,287835544,28,2021
N505,1072299400,28,2021
N506,1838724980,28,2021
N507,43676753,28,2021
N508,3080463908,28,2021
N509,12612912,28,2021
N510,14418503,28,2021
N511,3731137,28,2021
N512,7234120,28,2021
N513,6408829,28,2021
N519,37006571,28,2021
N519A,1943748499,28,2021
N520,68863052,28,2021
N521,90491885,28,2021
N523,48297650,28,2021
N525,29099367,28,2021
N526,9408468,28,2021
N528,138016762,28,2021
N529,20060207,28,2021
N530,30100015,28,2021
N531,6621983,28,2021
N532,21673530,28,2021
N533,609712,28,2021
N534,2610457931,28,2021
N535,36856715,28,2021
N536,10280465,28,2021
N537,28869489,28,2021
N539,13922853,28,2021
N541,6736751,28,2021
N542,131430924,28,2021
N543,9590495,28,2021
N544,6491054,28,2021
N545,131969549,28,2021
N546,40942963,28,2021
N547,1523283,28,2021
N548,10447916,28,2021
N549,20958218,28,2021
N550,1759341285,28,2021
N551,9571524,28,2021
N553,5101520,28,2021
N554,139148067,28,2021
N555,1186212146,28,2021
N556,14604140,28,2021
N557,3406904,28,2021
