,complex,area,scp,df_len,dt_min,dt_max,dt_avg_step,tdiff_min,tdiff_med,tdiff_mean,tdiff_max,dt_offset,idiff_min,idiff_med,idiff_mean,idiff_max,idiff_10lgst,idiff_neg_ct,idiff_zero_ct,idiff_pos_ct,idiffpt_min,idiffpt_med,idiffpt_mean,idiffpt_max,inegset_ct,inegset_avg_len,odiff_min,odiff_med,odiff_mean,odiff_max,odiff_10lgst,odiff_neg_ct,odiff_zero_ct,odiff_pos_ct,odiffpt_min,odiffpt_med,odiffpt_mean,odiffpt_max,onegset_ct,onegset_avg_len
265,75,D009,00-00-00,15021,2014-10-11 01:00:00,2021-08-06 21:00:00,0 days 03:58:52.893948472,0 days 00:00:31,0 days 04:00:00,0 days 03:58:53.852606351,1 days 07:39:49,1,-7246147.0,29.0,27.011117768457492,5757496.0,"[7246147.0, 5757496.0, 1290.0, 1287.0, 1280.0, 1278.0, 1274.0, 1270.0, 1268.0, 1265.0]",1,1798,13222,-915391.1061593662,30.0,450.5955990773284,5757496.0,1.0,1.0,-6668527.0,25.0,20.906131416017576,5912273.0,"[6668527.0, 5912273.0, 758.0, 585.0, 577.0, 555.0, 535.0, 533.0, 518.0, 512.0]",1,3012,12008,-842421.5389204222,26.0,409.00004475365085,5912273.0,1.0,1.0
266,349,R630,00-00-01,13400,2014-10-11 00:00:00,2021-08-06 20:00:00,0 days 04:27:46.746268656,0 days 00:00:44,0 days 04:00:00,0 days 04:27:47.820895522,252 days 16:00:00,0,0.0,61.0,313.9490298507463,3099320.0,"[3099320.0, 7730.0, 1478.0, 557.0, 539.0, 511.0, 500.0, 496.0, 495.0, 483.0]",0,666,12734,0.0,61.0,314.73001057214873,3099320.0,0.0,0,0.0,14.0,102.245,1111983.0,"[1111983.0, 1906.0, 413.0, 169.0, 143.0, 134.0, 122.0, 118.0, 117.0, 114.0]",0,677,12723,0.0,14.0,102.2831335530948,1111983.0,0.0,0
267,152,N023,01-00-01,14931,2014-10-11 01:00:00,2021-08-06 21:00:00,0 days 04:00:19.288728149,0 days 00:01:07,0 days 04:00:00,0 days 04:00:20.253164556,2 days 20:00:00,1,-1848053.0,25.0,5.659567343111647,1569133.0,"[1848053.0, 1569133.0, 202825.0, 812.0, 622.0, 392.0, 319.0, 265.0, 255.0, 250.0]",2,944,13985,-202825.0,25.0,122.22206484086587,1569133.0,2.0,1.0,-3290669.0,61.0,12.273658830620857,2774434.0,"[3290669.0, 2774434.0, 421614.0, 1509.0, 1100.0, 480.0, 456.0, 429.0, 346.0, 345.0]",2,326,14603,-421614.0,61.0,219.81919131267787,2774434.0,2.0,1.0
268,636,N103,00-03-00,15088,2014-10-11 00:00:00,2021-08-06 20:00:00,0 days 03:57:49.247083775,0 days 00:00:15,0 days 04:00:00,0 days 03:57:50.201484623,7 days 04:00:00,0,-1253.0,0.0,30.609822375397666,450030.0,"[450030.0, 3825.0, 1253.0, 28.0, 27.0, 26.0, 23.0, 14.0, 11.0, 10.0]",1,9718,5369,-1253.0,0.0,15.696592323585405,225015.0,1.0,1.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,15088,0,0.0,0.0,0.0,0.0,0.0,0
269,502,S102,00-03-00,15081,2014-10-11 02:00:00,2021-08-06 22:00:00,0 days 03:57:55.870300377,0 days 00:01:04,0 days 04:00:00,0 days 03:57:56.825144221,14 days 04:00:00,2,0.0,19.0,43.21298322392414,294709.0,"[294709.0, 2220.0, 906.0, 905.0, 476.0, 331.0, 248.0, 243.0, 232.0, 227.0]",0,1321,13760,0.0,20.0,43.84503935579076,294709.0,0.0,0,0.0,0.0,0.0015250978051853325,8.0,"[8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,15065,16,0.0,0.0,0.0014595693061390063,8.0,0.0,0
270,313,R161A,01-00-03,15021,2014-10-11 01:00:00,2021-08-06 21:00:00,0 days 03:58:52.893948472,0 days 00:00:09,0 days 04:00:00,0 days 03:58:53.852606351,14 days 04:00:00,1,-5602448.0,225.0,25.161507223220823,2744975.0,"[5602448.0, 2744975.0, 620296.0, 132065.0, 60038.0, 26616.0, 1688.0, 1461.0, 1320.0, 1308.0]",6,252,14763,-1400612.0,232.0,343.11729395652975,2744975.0,6.0,1.0,-3404861.0,117.0,18.781505891751546,1632252.0,"[3404861.0, 1632252.0, 389751.0, 77447.0, 36521.0, 16367.0, 1879.0, 1483.0, 1120.0, 826.0]",5,138,14878,-851215.25,121.0,212.41641752627785,1632252.0,5.0,1.2
271,44,B015,01-03-01,15034,2014-10-11 00:00:00,2021-08-06 20:00:00,0 days 03:58:40.500199547,0 days 00:01:05,0 days 04:00:00,0 days 03:58:41.458028468,1 days 16:00:00,0,0.0,42.0,226.6456032991885,2460562.0,"[2460562.0, 664.0, 467.0, 403.0, 396.0, 388.0, 387.0, 385.0, 383.0, 382.0]",0,614,14420,0.0,42.5,227.75869706084055,2460562.0,0.0,0,0.0,234.0,1199.2016096847146,12682866.0,"[12682866.0, 5086.0, 2114.0, 2071.0, 2046.0, 1953.0, 1715.0, 1708.0, 1436.0, 1430.0]",0,180,14854,0.0,235.0,1200.5793230415377,12682866.0,0.0,0
272,262,N331,00-00-01,15079,2014-10-11 00:00:00,2021-08-06 20:00:00,0 days 03:57:57.763777438,0 days 00:00:18,0 days 04:00:00,0 days 03:57:58.718747927,14 days 04:00:00,0,-8210557.0,68.0,604.1039193580476,8210604.0,"[8210604.0, 8210557.0, 7169400.0, 13693.0, 1347.0, 1263.0, 1040.0, 1013.0, 887.0, 879.0]",2,219,14858,-8210557.0,71.0,612.6847144202362,8210604.0,2.0,1.0,-6278534.0,55.0,463.538364613038,6278566.0,"[6278566.0, 6278534.0, 5785180.0, 8632.0, 671.0, 587.0, 573.0, 470.0, 423.0, 417.0]",1,82,14996,-6278534.0,57.0,464.7191430961158,6278566.0,1.0,2.0
273,56,B034,01-06-01,14987,2014-10-11 00:00:00,2021-08-06 20:00:00,0 days 03:59:25.410022019,0 days 00:01:15,0 days 04:00:00,0 days 03:59:26.370854740,1 days 20:00:00,0,0.0,49.0,222.51971708814307,2129097.0,"[2129097.0, 1126.0, 685.0, 678.0, 673.0, 640.0, 637.0, 624.0, 607.0, 549.0]",0,1167,13820,0.0,49.0,224.94103661475017,2129097.0,0.0,0,0.0,8.0,30.798358577433778,307534.0,"[307534.0, 133.0, 94.0, 90.0, 78.0, 76.0, 75.0, 73.0, 73.0, 71.0]",0,1669,13318,0.0,8.0,30.865992598916147,307534.0,0.0,0
274,59,E001,00-05-01,15104,2014-10-11 01:00:00,2021-08-06 21:00:00,0 days 03:57:34.131355932,0 days 00:00:24,0 days 04:00:00,0 days 03:57:35.084745762,2 days 16:00:00,1,0.0,0.0,34.71186440677966,524288.0,"[524288.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,15103,1,0.0,0.0,34.71186440677966,524288.0,0.0,0,0.0,0.0,0.012049788135593221,49.0,"[49.0, 6.0, 5.0, 5.0, 4.0, 4.0, 3.0, 2.0, 2.0, 2.0]",0,15011,93,0.0,0.0,0.01156102899042392,49.0,0.0,0
